company,investor,type,money,currency,year
strands,bbva,venture,"EUR 18,960,000.00",EUR,2007
strands,antonio-asensio,venture,"EUR 19,750,000.00",EUR,2007
strands,debaeque,venture,"EUR 2,370,000.00",EUR,2006
strands,sequel,venture,"EUR 2,370,000.00",EUR,2006
akamon-entertainment,bonsai-capital,venture,"EUR 700,000.00",EUR,2013
akamon-entertainment,vicen-mart,venture,"EUR 700,000.00",EUR,2013
akamon-entertainment,carlos-blanco,venture,"EUR 700,000.00",EUR,2013
akamon-entertainment,axon-partners-group,venture,"EUR 700,000.00",EUR,2013
veeva,emergence-capital-partners,undisclosed,"EUR 3,160,000.00",EUR,2008
3scale,javelin-venture-partners,private_equity,"EUR 1,659,000.00",EUR,2013
3scale,costanoa-venture-capital,private_equity,"EUR 1,659,000.00",EUR,2013
3scale,cidem-acc1,seed,"EUR 210,666.14",EUR,2010
3scale,inveready-technology-investment-group,seed,"EUR 210,666.14",EUR,2010
3scale,neotec,seed,"EUR 210,666.14",EUR,2010
trovit,cabiedes-partners,undisclosed,"EUR 688,090.00",EUR,2011
trovit,caixa-capital,venture,"EUR 600,000.00",EUR,2007
openbravo,sodena,undisclosed,"EUR 5,000,000.00",EUR,2006
openbravo,gimv,venture,"EUR 3,160,000.00",EUR,2008
openbravo,amadeus-capital-partners,venture,"EUR 3,160,000.00",EUR,2008
openbravo,adara-venture-partners,venture,"EUR 3,160,000.00",EUR,2008
sales-eyeos-com,inveready-technology-investment-group,venture,"EUR 1,000,000.00",EUR,2011
trip4real,caixa-capital,venture,"EUR 500,000.00",EUR,2014
trip4real,kibo-ventures,venture,"EUR 500,000.00",EUR,2014
trip4real,ferran-adri,angel,"EUR 118,500.00",EUR,2013
trip4real,enisa,seed,"EUR 75,000.00",EUR,2012
social-point,greylock,venture,"EUR 7,900,000.00",EUR,2014
social-point,idinvest-partners,venture,"EUR 7,900,000.00",EUR,2014
social-point,highland-capital-partners-europe,venture,"EUR 7,900,000.00",EUR,2014
social-point,greylock,venture,"EUR 2,900,000.00",EUR,2013
social-point,idinvest-partners,venture,"EUR 1,948,666.14",EUR,2012
social-point,bbva,venture,"EUR 1,948,666.14",EUR,2012
social-point,nauta-capital,venture,"EUR 1,948,666.14",EUR,2012
social-point,nauta-capital,venture,"EUR 2,400,000.00",EUR,2011
futurlink,gestora-de-finances-per-emprenedor,venture,"EUR 246,480.00",EUR,2005
futurlink,highgrowth,venture,"EUR 246,480.00",EUR,2005
futurlink,caixa-capital,venture,"EUR 2,765,000.00",EUR,2007
futurlink,highgrowth,venture,"EUR 2,765,000.00",EUR,2007
privalia,cabiedes-partners,undisclosed,"EUR 198,132,000.00",EUR,2011
privalia,sofina,private_equity,"EUR 25,000,000.00",EUR,2013
privalia,insight-venture-partners,private_equity,"EUR 24,371,500.00",EUR,2011
privalia,general-atlantic,private_equity,"EUR 24,371,500.00",EUR,2011
privalia,highland-capital-partners,private_equity,"EUR 24,371,500.00",EUR,2011
privalia,index-ventures,private_equity,"EUR 24,371,500.00",EUR,2011
privalia,general-atlantic,venture,"EUR 37,525,000.00",EUR,2010
privalia,index-ventures,venture,"EUR 37,525,000.00",EUR,2010
artificial-solutions,scope-capital-advisory,venture,"EUR 7,426,000.00",EUR,2013
artificial-solutions,scope-capital-advisory,undisclosed,"EUR 6,500,000.00",EUR,2008
reviewpro,active-venture-partners,undisclosed,"EUR 3,000,000.00",EUR,2013
cloudwork,nauta-capital,seed,"EUR 316,000.00",EUR,2011
cloudwork,al-sisto,seed,"EUR 316,000.00",EUR,2011
cloudwork,carles-ferrer,seed,"EUR 316,000.00",EUR,2011
vlex,caixa-capital,undisclosed,"EUR 4,000,000.00",EUR,2012
zyncro,caixa-capital,venture,"EUR 533,333.00",EUR,2012
zyncro,active-venture-partners,venture,"EUR 533,333.00",EUR,2012
zyncro,cabiedes-partners,venture,"EUR 533,333.00",EUR,2012
zyncro,cabiedes-partners,venture,"EUR 1,200,000.00",EUR,2011
