name,role
strands,company
gsi-commerce,company
akamon-entertainment,company
veeva,company
3scale,company
trovit,company
openbravo,company
sales-eyeos-com,company
trip4real,company
social-point,company
flumotion,company
futurlink,company
privalia,company
loanbook-capital,company
artificial-solutions,company
bizzonia,company
reviewpro,company
cloudwork,company
vlex,company
zyncro,company
the-alloy-valve-stockist,company
san-francisco-barcelona-sister-city,company
labtrip,company
viclone,company
edreams,company
geenapp-internet,company
whisbi,company
ohlalapps,company
nuroa,company
elogia,company
icebergs,company
terminis-com,company
getapp,company
eyetok,company
sclipo,company
adman-media,company
jobeople,company
zhilabs,company
groupalia,company
citymart,company
arcplan-information-services-ag,company
sironta-software,company
layers,company
ntr-global,company
blinzy-studios,company
splendia,company
passnfly,company
catchoom,company
the-social-coin-sl,company
bevelity,company
bidaway-com,company
only-apartments,company
reactable-systems,company
gameloft,company
doctoralia,company
idodi,company
bicimarket-com-tienda-online-de-ciclismo,company
doctuo,company
signaturit-solutions,company
listiamo,company
uvinum,company
ilustrum,company
userzoom,company
ebdsoft,company
incubio,company
nicepeopleatwork,company
mynbest,company
parabebes-com,company
picreel,company
kings-of-mambo,company
dexma,company
upptalk,company
hypecal,company
ducksboard,company
mythos,company
genoom,company
notegraphy,company
restalo-es,company
blueknow,company
softonic,company
lilymedia,company
lucierna,company
groupiest,company
nektria,company
neosono,company
alertaphone,company
promocionesfarma-com,company
offerum,company
baobab-planet,company
mobifriends,company
smadex,company
cognicor-technologies,company
oryzon-genomics,company
scytl,company
illuminate-solutions,company
cloudjutsu,company
link-to-media,company
hall-st,company
phobious,company
digital-samba,company
byhours-com,company
topicso,company
faircompanies,company
tiching,company
flyzik,company
ofertia,company
ludium-lab,company
lacomunity,company
typeform,company
yesweplay,company
testif,company
boolino,company
joliebox,company
wuaki-tv,company
bestiario,company
innoquant,company
chicplace,company
marfeel,company
esforc,company
clickug,company
nubelo,company
neurotec-pharma,company
social-beyond,company
streetmatching,company
gigle-semiconductor,company
hotelninjas,company
starfish-community-group,company
widgadget,company
lodgify,company
solomo365,company
natural-machines,company
genaker,company
mint-labs,company
ioactive-inc,company
polymita-technologies,company
zocko,company
referup,company
conductr,company
monapart-living,company
pin-digital-2,company
ulabox,company
infantium,company
tiendeo,company
bella-idea,company
logim-solutions,company
streaming-djs,company
onyougo,company
whisher,company
uwhisp,company
quizlyse,company
dinube,company
mobiquus,company
medtep,company
foundum,company
walltik,company
kinamik-data-integrity,company
constance-barcelona,company
treeveo,company
mytwinplace,company
billage,company
knok,company
migoa,company
pickaso,company
crucial-divide,company
kompyte,company
nuvolic,company
oonair,company
clicktron-media,company
instaroom,company
revivelanoche-sl,company
dicelacancion,company
production-media-network,company
archy,company
22-barcelona,company
qajack,company
multiplica,company
carritus,company
soma-barcelona,company
mykfit,company
magic-foto,company
mgs-corporation,company
atrapalo,company
imira-entertainment,company
totfan-games,company
fiabee,company
tumanitas,company
open-iebs,company
socialdiabetes,company
appszoom,company
shoprepublic,company
emma-solutions,company
latinia,company
appnormals,company
agorique,company
garrigues,company
osclass,company
h2a-ventures,company
talecris-biotherapeutics,company
koonec,company
neventum,company
dr-bloom,company
rentamus,company
desigual,company
stockapps,company
redcoon-es,company
bibulu,company
socialcar,company
changeyourflight,company
derecho-com,company
aia,company
fastdove,company
quenergia,company
joinup-taxi,company
wineissocial,company
sepmag-technologies,company
blueliv,company
la-cigea-del-beb,company
uplaya,company
zlworks,company
festuc,company
gas-natural,company
paravegetarianos,company
visual-coast-web-development,company
verycocinar-com,company
dark-ride-studios,company
executive-accommodation-and-services,company
metricson,company
notedlinks,company
geome,company
blit-software,company
solostocks,company
tuitele,company
digital-legends,company
increnta,company
wuapi,company
neurotic,company
the-mobile-bakery,company
tailor4less,company
tooltester-network,company
robot-media,company
3llideas,company
emailing-network,company
zeedprotection,company
exoclick,company
inqbarna,company
fototea,company
hootik,company
homuork,company
popplaces,company
qustodio,company
undefined,company
